Requirement Text,Requirement Type,Source Dataset
The displayed number of total ideas shall be updated frequently.,Functional,GitHub SRS
The Moderator shall know who has not finished casting their votes.,Functional,GitHub SRS
The Moderator shall be able to send an email to warn users that the session is about to close.,Functional,GitHub SRS
The Disputes System shall preserve user phases even when moderators revert to a previous phase.,Functional,GitHub SRS
All Users will be able to view the next product by swiping left to right.,Non-Functional,GitHub SRS
All users shall be able to navigate to the Catalogue using the sub navigation icons.,Non-Functional,GitHub SRS
"The ride coordination system shall prioritize a user-friendly, secure, and reliable experience.",Non-Functional,GitHub SRS
The carpool system shall allow users to define their availability and automatically assign them as drivers based on pre-determined criteria.,Functional,GitHub SRS
The system shall integrate with Google Maps to provide location and travel time details.,Functional,GitHub SRS
The application shall maintain a list of classes for the user.,Functional,GitHub SRS
Users shall be able to add a class to a list of classes in which they are enrolled.,Functional,GitHub SRS
Users shall be able to remove classes from the list of classes in which they are enrolled.,Functional,GitHub SRS
Users shall be able to completely reset their lists of classes and assignments.,Functional,GitHub SRS
Users shall be able to authenticate to the application using their Radford University username and password.,Functional,GitHub SRS
The application shall be able to automatically download the class schedule of authenticated users.,Functional,GitHub SRS
The user shall be able to view their list of classes.,Functional,GitHub SRS
The app shall maintain a list of assignments associated with each class in the list of classes.,Functional,GitHub SRS
Users shall be able to add an assignment to a list of assignments.,Functional,GitHub SRS
Users shall be able to edit assignments in their list of assignments.,Functional,GitHub SRS
Users shall be able to remove an assignment from their list of assignments.,Functional,GitHub SRS
Users shall be able to clear all assignments for a particular class.,Functional,GitHub SRS
The user shall be able to set the name of an assignment.,Functional,GitHub SRS
The user shall be able to set the description of an assignment.,Functional,GitHub SRS
The user shall be able to set the due date of an assignment.,Functional,GitHub SRS
The user shall be able to set the class which an assignment belongs to.,Functional,GitHub SRS
The user shall be able to set notification parameters for an assignment.,Functional,GitHub SRS
The user shall be able to view their list of assignments ordered by due date.,Functional,GitHub SRS
The user shall be able to view their list of assignments grouped by class.,Functional,GitHub SRS
The user shall be able to view the detailed attributes of a single assignment.,Functional,GitHub SRS
